Family,File,Nodes,Algorithm,AvgTime_ms
Random4-n,Random4-n.10.0.gr,1024,dijkstra-single,0.17
Random4-n,Random4-n.10.0.gr,1024,dijkstra-random,0.13
Random4-n,Random4-n.10.0.gr,1024,radixheap-single,0.22
Random4-n,Random4-n.10.0.gr,1024,radixheap-random,0.22
Random4-n,Random4-n.10.0.gr,1024,dial-single,0.16
Random4-n,Random4-n.10.0.gr,1024,dial-random,0.13
Random4-n,Random4-n.11.0.gr,2048,dijkstra-single,0.39
Random4-n,Random4-n.11.0.gr,2048,dijkstra-random,0.29
Random4-n,Random4-n.11.0.gr,2048,radixheap-single,0.4
Random4-n,Random4-n.11.0.gr,2048,radixheap-random,0.39
Random4-n,Random4-n.11.0.gr,2048,dial-single,0.31
Random4-n,Random4-n.11.0.gr,2048,dial-random,0.4
Random4-n,Random4-n.12.0.gr,4096,dijkstra-single,0.74
Random4-n,Random4-n.12.0.gr,4096,dijkstra-random,0.64
Random4-n,Random4-n.12.0.gr,4096,radixheap-single,0.81
Random4-n,Random4-n.12.0.gr,4096,radixheap-random,0.73
Random4-n,Random4-n.12.0.gr,4096,dial-single,0.7
Random4-n,Random4-n.12.0.gr,4096,dial-random,0.58
Random4-n,Random4-n.13.0.gr,8192,dijkstra-single,1.63
Random4-n,Random4-n.13.0.gr,8192,dijkstra-random,1.43
Random4-n,Random4-n.13.0.gr,8192,radixheap-single,1.81
Random4-n,Random4-n.13.0.gr,8192,radixheap-random,1.55
Random4-n,Random4-n.13.0.gr,8192,dial-single,1.45
Random4-n,Random4-n.13.0.gr,8192,dial-random,1.26
Random4-n,Random4-n.14.0.gr,16384,dijkstra-single,3.62
Random4-n,Random4-n.14.0.gr,16384,dijkstra-random,3.19
Random4-n,Random4-n.14.0.gr,16384,radixheap-single,3.4
Random4-n,Random4-n.14.0.gr,16384,radixheap-random,3.39
Random4-n,Random4-n.14.0.gr,16384,dial-single,3.16
Random4-n,Random4-n.14.0.gr,16384,dial-random,2.75
Random4-n,Random4-n.15.0.gr,32768,dijkstra-single,7.27
Random4-n,Random4-n.15.0.gr,32768,dijkstra-random,7.17
Random4-n,Random4-n.15.0.gr,32768,radixheap-single,7.67
Random4-n,Random4-n.15.0.gr,32768,radixheap-random,7.07
Random4-n,Random4-n.15.0.gr,32768,dial-single,6.86
Random4-n,Random4-n.15.0.gr,32768,dial-random,8.21
Random4-n,Random4-n.16.0.gr,65536,dijkstra-single,17.22
Random4-n,Random4-n.16.0.gr,65536,dijkstra-random,16.73
Random4-n,Random4-n.16.0.gr,65536,radixheap-single,21.1
Random4-n,Random4-n.16.0.gr,65536,radixheap-random,17.68
Random4-n,Random4-n.16.0.gr,65536,dial-single,22.97
Random4-n,Random4-n.16.0.gr,65536,dial-random,20.78
Random4-n,Random4-n.17.0.gr,131072,dijkstra-single,46.34
Random4-n,Random4-n.17.0.gr,131072,dijkstra-random,45.45
Random4-n,Random4-n.17.0.gr,131072,radixheap-single,43.68
Random4-n,Random4-n.17.0.gr,131072,radixheap-random,42.89
Random4-n,Random4-n.17.0.gr,131072,dial-single,48.94
Random4-n,Random4-n.17.0.gr,131072,dial-random,51.95
Random4-n,Random4-n.18.0.gr,262144,dijkstra-single,99.46
Random4-n,Random4-n.18.0.gr,262144,dijkstra-random,105.24
Random4-n,Random4-n.18.0.gr,262144,radixheap-single,99.8
Random4-n,Random4-n.18.0.gr,262144,radixheap-random,97.15
Random4-n,Random4-n.18.0.gr,262144,dial-single,116.0
Random4-n,Random4-n.18.0.gr,262144,dial-random,131.85
Random4-n,Random4-n.19.0.gr,524288,dijkstra-single,242.38
Random4-n,Random4-n.19.0.gr,524288,dijkstra-random,237.84
Random4-n,Random4-n.19.0.gr,524288,radixheap-single,218.93
Random4-n,Random4-n.19.0.gr,524288,radixheap-random,219.5
Random4-n,Random4-n.19.0.gr,524288,dial-single,253.13
Random4-n,Random4-n.19.0.gr,524288,dial-random,289.93
Random4-n,Random4-n.20.0.gr,1048576,dijkstra-single,572.21
Random4-n,Random4-n.20.0.gr,1048576,dijkstra-random,511.35
Random4-n,Random4-n.20.0.gr,1048576,radixheap-single,488.84
Random4-n,Random4-n.20.0.gr,1048576,radixheap-random,478.97
Random4-n,Random4-n.20.0.gr,1048576,dial-single,623.65
Random4-n,Random4-n.20.0.gr,1048576,dial-random,620.08
Random4-n,Random4-n.21.0.gr,2097152,dijkstra-single,1128.22
Random4-n,Random4-n.21.0.gr,2097152,dijkstra-random,1156.79
Random4-n,Random4-n.21.0.gr,2097152,radixheap-single,1005.86
Random4-n,Random4-n.21.0.gr,2097152,radixheap-random,985.83
Random4-n,Random4-n.21.0.gr,2097152,dial-single,1189.28
Random4-n,Random4-n.21.0.gr,2097152,dial-random,1295.25
Random4-C,Random4-C.0.0.gr,1048576,dijkstra-single,451.51
Random4-C,Random4-C.0.0.gr,1048576,dijkstra-random,451.57
Random4-C,Random4-C.0.0.gr,1048576,radixheap-single,250.89
Random4-C,Random4-C.0.0.gr,1048576,radixheap-random,233.84
Random4-C,Random4-C.0.0.gr,1048576,dial-single,208.68
Random4-C,Random4-C.0.0.gr,1048576,dial-random,202.82
Random4-C,Random4-C.1.0.gr,1048576,dijkstra-single,506.2
Random4-C,Random4-C.1.0.gr,1048576,dijkstra-random,468.69
Random4-C,Random4-C.1.0.gr,1048576,radixheap-single,260.06
Random4-C,Random4-C.1.0.gr,1048576,radixheap-random,227.07
Random4-C,Random4-C.1.0.gr,1048576,dial-single,200.1
Random4-C,Random4-C.1.0.gr,1048576,dial-random,198.99
Random4-C,Random4-C.2.0.gr,1048576,dijkstra-single,558.48
Random4-C,Random4-C.2.0.gr,1048576,dijkstra-random,508.83
Random4-C,Random4-C.2.0.gr,1048576,radixheap-single,235.56
Random4-C,Random4-C.2.0.gr,1048576,radixheap-random,228.17
Random4-C,Random4-C.2.0.gr,1048576,dial-single,201.49
Random4-C,Random4-C.2.0.gr,1048576,dial-random,195.96
Random4-C,Random4-C.3.0.gr,1048576,dijkstra-single,534.53
Random4-C,Random4-C.3.0.gr,1048576,dijkstra-random,518.35
Random4-C,Random4-C.3.0.gr,1048576,radixheap-single,233.54
Random4-C,Random4-C.3.0.gr,1048576,radixheap-random,226.36
Random4-C,Random4-C.3.0.gr,1048576,dial-single,189.64
Random4-C,Random4-C.3.0.gr,1048576,dial-random,192.98
Random4-C,Random4-C.4.0.gr,1048576,dijkstra-single,527.11
Random4-C,Random4-C.4.0.gr,1048576,dijkstra-random,530.97
Random4-C,Random4-C.4.0.gr,1048576,radixheap-single,249.43
Random4-C,Random4-C.4.0.gr,1048576,radixheap-random,240.2
Random4-C,Random4-C.4.0.gr,1048576,dial-single,199.19
Random4-C,Random4-C.4.0.gr,1048576,dial-random,194.88
Random4-C,Random4-C.5.0.gr,1048576,dijkstra-single,536.45
Random4-C,Random4-C.5.0.gr,1048576,dijkstra-random,552.36
Random4-C,Random4-C.5.0.gr,1048576,radixheap-single,249.4
Random4-C,Random4-C.5.0.gr,1048576,radixheap-random,249.7
Random4-C,Random4-C.5.0.gr,1048576,dial-single,197.01
Random4-C,Random4-C.5.0.gr,1048576,dial-random,202.22
Random4-C,Random4-C.6.0.gr,1048576,dijkstra-single,564.22
Random4-C,Random4-C.6.0.gr,1048576,dijkstra-random,530.73
Random4-C,Random4-C.6.0.gr,1048576,radixheap-single,262.42
Random4-C,Random4-C.6.0.gr,1048576,radixheap-random,256.06
Random4-C,Random4-C.6.0.gr,1048576,dial-single,212.24
Random4-C,Random4-C.6.0.gr,1048576,dial-random,205.11
Random4-C,Random4-C.7.0.gr,1048576,dijkstra-single,551.68
Random4-C,Random4-C.7.0.gr,1048576,dijkstra-random,533.81
Random4-C,Random4-C.7.0.gr,1048576,radixheap-single,289.69
Random4-C,Random4-C.7.0.gr,1048576,radixheap-random,273.43
Random4-C,Random4-C.7.0.gr,1048576,dial-single,238.17
Random4-C,Random4-C.7.0.gr,1048576,dial-random,222.33
Random4-C,Random4-C.8.0.gr,1048576,dijkstra-single,523.43
Random4-C,Random4-C.8.0.gr,1048576,dijkstra-random,525.18
Random4-C,Random4-C.8.0.gr,1048576,radixheap-single,327.71
Random4-C,Random4-C.8.0.gr,1048576,radixheap-random,301.86
Random4-C,Random4-C.8.0.gr,1048576,dial-single,313.42
Random4-C,Random4-C.8.0.gr,1048576,dial-random,301.97
Random4-C,Random4-C.9.0.gr,1048576,dijkstra-single,533.15
Random4-C,Random4-C.9.0.gr,1048576,dijkstra-random,528.51
Random4-C,Random4-C.9.0.gr,1048576,radixheap-single,414.53
Random4-C,Random4-C.9.0.gr,1048576,radixheap-random,377.18
Random4-C,Random4-C.9.0.gr,1048576,dial-single,423.74
Random4-C,Random4-C.9.0.gr,1048576,dial-random,431.78
Random4-C,Random4-C.10.0.gr,1048576,dijkstra-single,530.77
Random4-C,Random4-C.10.0.gr,1048576,dijkstra-random,513.74
Random4-C,Random4-C.10.0.gr,1048576,radixheap-single,479.39
Random4-C,Random4-C.10.0.gr,1048576,radixheap-random,480.59
Random4-C,Random4-C.10.0.gr,1048576,dial-single,545.06
Random4-C,Random4-C.10.0.gr,1048576,dial-random,593.02
Random4-C,Random4-C.11.0.gr,1048576,dijkstra-single,503.99
Random4-C,Random4-C.11.0.gr,1048576,dijkstra-random,501.28
Random4-C,Random4-C.11.0.gr,1048576,radixheap-single,494.0
Random4-C,Random4-C.11.0.gr,1048576,radixheap-random,489.63
Random4-C,Random4-C.11.0.gr,1048576,dial-single,808.87
Random4-C,Random4-C.11.0.gr,1048576,dial-random,871.37
Random4-C,Random4-C.12.0.gr,1048576,dijkstra-single,503.35
Random4-C,Random4-C.12.0.gr,1048576,dijkstra-random,499.62
Random4-C,Random4-C.12.0.gr,1048576,radixheap-single,500.49
Random4-C,Random4-C.12.0.gr,1048576,radixheap-random,493.1
Random4-C,Random4-C.12.0.gr,1048576,dial-single,1505.98
Random4-C,Random4-C.12.0.gr,1048576,dial-random,1581.03
Random4-C,Random4-C.13.0.gr,1048576,dijkstra-single,503.56
Random4-C,Random4-C.13.0.gr,1048576,dijkstra-random,494.01
Random4-C,Random4-C.13.0.gr,1048576,radixheap-single,512.01
Random4-C,Random4-C.13.0.gr,1048576,radixheap-random,495.08
Random4-C,Random4-C.13.0.gr,1048576,dial-single,3821.15
Random4-C,Random4-C.13.0.gr,1048576,dial-random,3998.68
Random4-C,Random4-C.14.0.gr,1048576,dijkstra-single,502.48
Random4-C,Random4-C.14.0.gr,1048576,dijkstra-random,501.77
Random4-C,Random4-C.14.0.gr,1048576,radixheap-single,518.94
Random4-C,Random4-C.14.0.gr,1048576,radixheap-random,499.44
Random4-C,Random4-C.14.0.gr,1048576,dial-single,13843.16
Random4-C,Random4-C.14.0.gr,1048576,dial-random,13595.35
Random4-C,Random4-C.15.0.gr,1048576,dijkstra-single,505.21
Random4-C,Random4-C.15.0.gr,1048576,dijkstra-random,512.59
Random4-C,Random4-C.15.0.gr,1048576,radixheap-single,520.69
Random4-C,Random4-C.15.0.gr,1048576,radixheap-random,503.67
Random4-C,Random4-C.15.0.gr,1048576,dial-single,TIMEOUT/ERR
Random4-C,Random4-C.15.0.gr,1048576,dial-random,TIMEOUT/ERR
Long-n,Long-n.10.0.gr,1024,dijkstra-single,0.21
Long-n,Long-n.10.0.gr,1024,dijkstra-random,0.09
Long-n,Long-n.10.0.gr,1024,radixheap-single,0.2
Long-n,Long-n.10.0.gr,1024,radixheap-random,0.2
Long-n,Long-n.10.0.gr,1024,dial-single,0.28
Long-n,Long-n.10.0.gr,1024,dial-random,0.18
Long-n,Long-n.11.0.gr,2048,dijkstra-single,0.22
Long-n,Long-n.11.0.gr,2048,dijkstra-random,0.22
Long-n,Long-n.11.0.gr,2048,radixheap-single,0.46
Long-n,Long-n.11.0.gr,2048,radixheap-random,0.31
Long-n,Long-n.11.0.gr,2048,dial-single,0.54
Long-n,Long-n.11.0.gr,2048,dial-random,0.51
Long-n,Long-n.12.0.gr,4096,dijkstra-single,0.43
Long-n,Long-n.12.0.gr,4096,dijkstra-random,0.35
Long-n,Long-n.12.0.gr,4096,radixheap-single,0.76
Long-n,Long-n.12.0.gr,4096,radixheap-random,0.68
Long-n,Long-n.12.0.gr,4096,dial-single,1.62
Long-n,Long-n.12.0.gr,4096,dial-random,1.63
Long-n,Long-n.13.0.gr,8192,dijkstra-single,0.92
Long-n,Long-n.13.0.gr,8192,dijkstra-random,0.74
Long-n,Long-n.13.0.gr,8192,radixheap-single,1.5
Long-n,Long-n.13.0.gr,8192,radixheap-random,1.29
Long-n,Long-n.13.0.gr,8192,dial-single,5.66
Long-n,Long-n.13.0.gr,8192,dial-random,5.71
Long-n,Long-n.14.0.gr,16384,dijkstra-single,2.57
Long-n,Long-n.14.0.gr,16384,dijkstra-random,1.6
Long-n,Long-n.14.0.gr,16384,radixheap-single,3.16
Long-n,Long-n.14.0.gr,16384,radixheap-random,2.7
Long-n,Long-n.14.0.gr,16384,dial-single,16.29
Long-n,Long-n.14.0.gr,16384,dial-random,20.49
Long-n,Long-n.15.0.gr,32768,dijkstra-single,4.22
Long-n,Long-n.15.0.gr,32768,dijkstra-random,3.34
Long-n,Long-n.15.0.gr,32768,radixheap-single,6.99
Long-n,Long-n.15.0.gr,32768,radixheap-random,5.53
Long-n,Long-n.15.0.gr,32768,dial-single,78.14
Long-n,Long-n.15.0.gr,32768,dial-random,65.71
Long-n,Long-n.16.0.gr,65536,dijkstra-single,8.65
Long-n,Long-n.16.0.gr,65536,dijkstra-random,7.17
Long-n,Long-n.16.0.gr,65536,radixheap-single,12.77
Long-n,Long-n.16.0.gr,65536,radixheap-random,11.83
Long-n,Long-n.16.0.gr,65536,dial-single,348.4
Long-n,Long-n.16.0.gr,65536,dial-random,293.35
Long-n,Long-n.17.0.gr,131072,dijkstra-single,18.77
Long-n,Long-n.17.0.gr,131072,dijkstra-random,16.77
Long-n,Long-n.17.0.gr,131072,radixheap-single,29.43
Long-n,Long-n.17.0.gr,131072,radixheap-random,25.15
Long-n,Long-n.17.0.gr,131072,dial-single,791.96
Long-n,Long-n.17.0.gr,131072,dial-random,1073.96
Long-n,Long-n.18.0.gr,262144,dijkstra-single,43.12
Long-n,Long-n.18.0.gr,262144,dijkstra-random,39.97
Long-n,Long-n.18.0.gr,262144,radixheap-single,63.31
Long-n,Long-n.18.0.gr,262144,radixheap-random,58.2
Long-n,Long-n.18.0.gr,262144,dial-single,3542.61
Long-n,Long-n.18.0.gr,262144,dial-random,4175.91
Long-n,Long-n.19.0.gr,524288,dijkstra-single,98.74
Long-n,Long-n.19.0.gr,524288,dijkstra-random,98.38
Long-n,Long-n.19.0.gr,524288,radixheap-single,139.88
Long-n,Long-n.19.0.gr,524288,radixheap-random,139.56
Long-n,Long-n.19.0.gr,524288,dial-single,22838.67
Long-n,Long-n.19.0.gr,524288,dial-random,19381.19
Long-n,Long-n.20.0.gr,1048576,dijkstra-single,232.67
Long-n,Long-n.20.0.gr,1048576,dijkstra-random,218.36
Long-n,Long-n.20.0.gr,1048576,radixheap-single,314.76
Long-n,Long-n.20.0.gr,1048576,radixheap-random,301.29
Long-n,Long-n.20.0.gr,1048576,dial-single,59403.43
Long-n,Long-n.20.0.gr,1048576,dial-random,TIMEOUT/ERR
Long-n,Long-n.21.0.gr,2097152,dijkstra-single,495.26
Long-n,Long-n.21.0.gr,2097152,dijkstra-random,480.21
Long-n,Long-n.21.0.gr,2097152,radixheap-single,655.82
Long-n,Long-n.21.0.gr,2097152,radixheap-random,650.86
Long-n,Long-n.21.0.gr,2097152,dial-single,TIMEOUT/ERR
Long-n,Long-n.21.0.gr,2097152,dial-random,TIMEOUT/ERR
Long-C,Long-C.0.0.gr,1048576,dijkstra-single,281.81
Long-C,Long-C.0.0.gr,1048576,dijkstra-random,273.9
Long-C,Long-C.0.0.gr,1048576,radixheap-single,135.71
Long-C,Long-C.0.0.gr,1048576,radixheap-random,130.77
Long-C,Long-C.0.0.gr,1048576,dial-single,129.41
Long-C,Long-C.0.0.gr,1048576,dial-random,128.54
Long-C,Long-C.1.0.gr,1048576,dijkstra-single,243.13
Long-C,Long-C.1.0.gr,1048576,dijkstra-random,246.11
Long-C,Long-C.1.0.gr,1048576,radixheap-single,159.74
Long-C,Long-C.1.0.gr,1048576,radixheap-random,145.52
Long-C,Long-C.1.0.gr,1048576,dial-single,127.01
Long-C,Long-C.1.0.gr,1048576,dial-random,123.82
Long-C,Long-C.2.0.gr,1048576,dijkstra-single,231.82
Long-C,Long-C.2.0.gr,1048576,dijkstra-random,238.71
Long-C,Long-C.2.0.gr,1048576,radixheap-single,210.53
Long-C,Long-C.2.0.gr,1048576,radixheap-random,191.18
Long-C,Long-C.2.0.gr,1048576,dial-single,138.93
Long-C,Long-C.2.0.gr,1048576,dial-random,132.0
Long-C,Long-C.3.0.gr,1048576,dijkstra-single,247.26
Long-C,Long-C.3.0.gr,1048576,dijkstra-random,236.92
Long-C,Long-C.3.0.gr,1048576,radixheap-single,243.77
Long-C,Long-C.3.0.gr,1048576,radixheap-random,244.54
Long-C,Long-C.3.0.gr,1048576,dial-single,142.14
Long-C,Long-C.3.0.gr,1048576,dial-random,147.18
Long-C,Long-C.4.0.gr,1048576,dijkstra-single,224.98
Long-C,Long-C.4.0.gr,1048576,dijkstra-random,226.22
Long-C,Long-C.4.0.gr,1048576,radixheap-single,288.44
Long-C,Long-C.4.0.gr,1048576,radixheap-random,281.79
Long-C,Long-C.4.0.gr,1048576,dial-single,178.93
Long-C,Long-C.4.0.gr,1048576,dial-random,175.06
Long-C,Long-C.5.0.gr,1048576,dijkstra-single,236.89
Long-C,Long-C.5.0.gr,1048576,dijkstra-random,226.08
Long-C,Long-C.5.0.gr,1048576,radixheap-single,302.6
Long-C,Long-C.5.0.gr,1048576,radixheap-random,299.02
Long-C,Long-C.5.0.gr,1048576,dial-single,225.91
Long-C,Long-C.5.0.gr,1048576,dial-random,235.7
Long-C,Long-C.6.0.gr,1048576,dijkstra-single,228.1
Long-C,Long-C.6.0.gr,1048576,dijkstra-random,222.6
Long-C,Long-C.6.0.gr,1048576,radixheap-single,305.57
Long-C,Long-C.6.0.gr,1048576,radixheap-random,302.29
Long-C,Long-C.6.0.gr,1048576,dial-single,461.45
